"mpio","dep","pob","emplserv","mpionombre","depnombre","ind"
73001,73,461739,1430,"Ibagué","Tolima",309.698769218108
86320,86,16823,52,"Orito","Putumayo",309.100636034001
25279,25,3885,12,"Fomeque","Cundinamarca",308.880308880309
5002,5,6176,19,"Abejorral","Antioquia",307.642487046632
68432,68,14683,45,"Málaga","Santander",306.476878022203
25777,25,1311,4,"Supatá","Cundinamarca",305.11060259344
54344,54,986,3,"Hacarí","Norte de Santander",304.259634888438
25120,25,989,3,"Cabrera","Cundinamarca",303.336703741153
15380,15,990,3,"La Capilla","Boyacá",303.030303030303
54874,54,66794,201,"Villa del Rosario","Norte de Santander",300.925232805342
52320,52,3352,10,"Guaitarilla","Nariño",298.329355608592
70742,70,21826,65,"San Luis de Sincé","Sucre",297.809951434069
19517,19,2696,8,"Paez","Cauca",296.73590504451
15455,15,4720,14,"Miraflores","Boyacá",296.610169491525
25612,25,3392,10,"Ricaurte","Cundinamarca",294.811320754717
52260,52,5107,15,"El Tambo","Nariño",293.714509496769
41551,41,60115,176,"Pitalito","Huila",292.772186642269
47245,47,32482,95,"El Banco","Magdalena",292.469675512592
25779,25,4801,14,"Susa","Cundinamarca",291.605915434285
44078,44,13123,38,"Barrancas","La Guajira",289.567934161396
19075,19,6224,18,"Balboa","Cauca",289.203084832905
15296,15,1388,4,"Gameza","Boyacá",288.184438040346
68162,68,2430,7,"Cerrito","Santander",288.065843621399
76364,76,64759,186,"Jamundí","Valle del Cauca",287.218764959311
25488,25,3170,9,"Nilo","Cundinamarca",283.91167192429
15790,15,1765,5,"Tasco","Boyacá",283.28611898017
85015,85,1065,3,"Chameza","Casanare",281.69014084507
5040,5,5328,15,"Anorí","Antioquia",281.531531531532
68682,68,714,2,"San Joaquín","Santander",280.112044817927
15764,15,722,2,"Soracá","Boyacá",277.008310249307
86001,86,25708,71,"Mocoa","Putumayo",276.178621440797
41660,41,2177,6,"Saladoblanco","Huila",275.608635737253
20032,20,8715,24,"Astrea","Cesar",275.387263339071
52687,52,2188,6,"San Lorenzo","Nariño",274.223034734918
70215,70,43271,118,"Corozal","Sucre",272.699960712718
15162,15,1473,4,"Cerinza","Boyacá",271.554650373388
19142,19,4060,11,"Caloto","Cauca",270.935960591133
52683,52,10714,29,"Sandoná","Nariño",270.673884636924
25649,25,3714,10,"San Bernardo","Cundinamarca",269.251480883145
86569,86,2975,8,"Puerto Caicedo","Putumayo",268.90756302521
23580,23,13390,36,"Puerto Libertador","Córdoba",268.857356235997
15879,15,372,1,"Viracachá","Boyacá",268.817204301075
15514,15,1117,3,"Páez","Boyacá",268.57654431513
41206,41,1492,4,"Colombia","Huila",268.096514745308
85125,85,3366,9,"Hato Corozal","Casanare",267.379679144385
15696,15,751,2,"Santa Sofía","Boyacá",266.311584553928
15293,15,377,1,"Gachantivá","Boyacá",265.25198938992
41298,41,32835,87,"Garzón","Huila",264.961169483783
73520,73,2643,7,"Palocabildo","Tolima",264.850548618994
73585,73,15487,41,"Purificación","Tolima",264.738167495319
68464,68,3411,9,"Mogotes","Santander",263.852242744063
15403,15,1140,3,"La Uvita","Boyacá",263.157894736842
19110,19,1904,5,"Buenos Aires","Cauca",262.605042016807
19100,19,4998,13,"Bolívar","Cauca",260.104041616647
15299,15,11928,31,"Garagoa","Boyacá",259.892689470154
15238,15,91197,237,"Duitama","Boyacá",259.876969637159
85263,85,3499,9,"Pore","Casanare",257.216347527865
63001,63,263713,675,"Armenia","Quindio",255.960077811864
73026,73,3138,8,"Alvarado","Tolima",254.939451880178
54599,54,2746,7,"Ragonvalia","Norte de Santander",254.916241806264
68895,68,5492,14,"Zapatoca","Santander",254.916241806264
25339,25,788,2,"Gutiérrez","Cundinamarca",253.807106598985
5264,5,3949,10,"Entrerrios","Antioquia",253.228665484933
50001,50,354551,897,"Villavicencio","Meta",252.996042882406
25322,25,3953,10,"Guasca","Cundinamarca",252.972426005565
25875,25,14232,36,"Villeta","Cundinamarca",252.951096121417
86573,86,7142,18,"Leguízamo","Putumayo",252.030243629235
54172,54,9524,24,"Chinácota","Norte de Santander",251.994960100798
73236,73,3183,8,"Dolores","Tolima",251.335218347471
15491,15,5180,13,"Nobsa","Boyacá",250.965250965251
15667,15,1995,5,"San Luis de Gaceno","Boyacá",250.62656641604
13030,13,5607,14,"Altos del Rosario","Bolívar",249.687890137328
5674,5,6832,17,"San Vicente","Antioquia",248.829039812646
15518,15,804,2,"Pajarito","Boyacá",248.756218905473
25181,25,3222,8,"Choachí","Cundinamarca",248.292985723153
54520,54,812,2,"Pamplonita","Norte de Santander",246.305418719212
5038,5,2049,5,"Angostura","Antioquia",244.021473889702
52227,52,1672,4,"Cumbal","Nariño",239.234449760766
86757,86,3351,8,"San Miguel","Putumayo",238.734706057893
5086,5,1683,4,"Belmira","Antioquia",237.67082590612
68418,68,1271,3,"Los Santos","Santander",236.0346184107
52621,52,849,2,"Roberto Payán","Nariño",235.571260306243
25183,25,8920,21,"Chocontá","Cundinamarca",235.42600896861
70670,70,18324,43,"Sampués","Sucre",234.664920323074
47692,47,5129,12,"San Sebastián de Buenavista","Magdalena",233.963735620979
23300,23,3426,8,"Cotorra","Córdoba",233.508464681845
15464,15,1717,4,"Mongua","Boyacá",232.96447291788
18256,18,8614,20,"El Paujil","Caquetá",232.180171813327
15621,15,432,1,"Rondón","Boyacá",231.481481481481
52203,52,1297,3,"Colón","Nariño",231.30300693909
52352,52,1730,4,"Iles","Nariño",231.21387283237
5664,5,10818,25,"San Pedro","Antioquia",231.096320946571
15686,15,2182,5,"Santana","Boyacá",229.147571035747
68855,68,1748,4,"Valle de San José","Santander",228.83295194508
68385,68,3071,7,"Landázuri","Santander",227.93878215565
17513,17,6149,14,"Pácora","Caldas",227.679297446739
25758,25,12738,29,"Sopó","Cundinamarca",227.665253571989
52036,52,1772,4,"Ancuyá","Nariño",225.733634311512
25483,25,1330,3,"Nariño","Cundinamarca",225.563909774436
5051,5,12414,28,"Arboletes","Antioquia",225.55179635895
68160,68,445,1,"Cepitá","Santander",224.719101123596
13430,13,79742,178,"Magangué","Bolívar",223.219884126307
52696,52,2689,6,"Santa Bárbara","Nariño",223.131275567125
85430,85,5901,13,"Trinidad","Casanare",220.301643789188
19137,19,1364,3,"Caldono","Cauca",219.941348973607
41676,41,2730,6,"Santa María","Huila",219.78021978022
15087,15,4101,9,"Belén","Boyacá",219.45866861741
76520,76,220707,483,"Palmira","Valle del Cauca",218.842175372779
15806,15,4116,9,"Tibasosa","Boyacá",218.65889212828
41770,41,3203,7,"Suaza","Huila",218.545113955667
5890,5,5968,13,"Yolombó","Antioquia",217.828418230563
23464,23,8775,19,"Momil","Córdoba",216.524216524217
15322,15,6931,15,"Guateque","Boyacá",216.41898715914
73152,73,1389,3,"Casabianca","Tolima",215.982721382289
68318,68,1854,4,"Guaca","Santander",215.749730312837
68327,68,1856,4,"Güepsa","Santander",215.51724137931
20614,20,5596,12,"Río de Oro","Cesar",214.438884917798
73616,73,4210,9,"Rioblanco","Tolima",213.776722090261
